type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud
3,16736.36,318380.86,301644.5,147711.02,164447.38,0
0,4792.26,374116.42,369324.15,45279.73,50072.0,0
3,15542.4,112520.94,96978.53,334001.63,349544.03,0
3,8165.67,264362.21,256196.54,66663.41,74829.08,0
0,12076.92,412958.85,400881.93,425922.96,437999.89,0
0,12687.56,231557.36,218869.8,408595.53,421283.08,0
3,7519.69,139228.77,131709.09,6830.84,14350.53,0
1,10301.04,327354.54,317053.5,447863.18,458164.22,0
0,8319.32,411883.7,403564.38,14472.16,22791.48,0
1,1475.74,31570.15,30094.4,119822.89,121298.63,0
1,8799.59,388395.24,379595.65,16194.57,24994.16,0
1,2038.13,410823.97,408785.84,167921.74,169959.87,0
0,8159.91,230761.46,222601.55,256933.26,265093.18,0
1,11899.08,491652.83,479753.75,398322.43,410221.51,0
0,11630.36,393354.17,381723.81,168990.78,180621.13,0
1,13286.16,386831.28,373545.12,352745.01,366031.18,0
3,1995.7,373919.29,371923.58,93752.23,95747.93,0
3,13077.25,75304.05,62226.8,375299.23,388376.48,0
0,6311.75,108615.44,102303.7,117998.3,124310.05,0
3,8041.01,231995.07,223954.05,71772.38,79813.39,0
3,17173.93,132002.17,114828.25,92704.43,109878.35,0
1,279.71,207620.49,207340.78,91031.56,91311.27,0
0,11809.41,444232.05,432422.64,256431.44,268240.85,0
1,12014.41,412163.45,400149.04,422398.79,434413.2,0
1,7993.53,315019.94,307026.41,39802.54,47796.07,0
1,4816.85,429060.2,424243.34,353478.16,358295.01,0
1,4770.01,391886.19,387116.18,327173.23,331943.24,0
1,17685.82,214492.47,196806.64,436259.98,453945.8,0
1,8896.29,100532.58,91636.29,122073.78,130970.07,0
1,6684.7,257100.52,250415.82,225054.93,231739.63,0
0,9030.67,368114.44,359083.77,462913.69,471944.36,0
3,13420.87,218209.8,204788.93,329996.73,343417.59,0
1,3000.56,333385.95,330385.4,194384.21,197384.76,0
1,9043.73,47163.71,38119.98,65706.19,74749.92,0
1,11798.9,374002.37,362203.47,131242.5,143041.4,0
1,18976.81,406356.81,387380.0,290607.74,309584.55,0
1,5125.3,353418.93,348293.63,359083.97,364209.28,0
1,7249.09,483631.79,476382.7,62210.94,69460.03,0
3,7649.24,413326.03,405676.79,299798.63,307447.87,0
3,12150.21,451546.86,439396.65,275175.64,287325.85,0
1,7198.97,466785.54,459586.57,256977.72,264176.69,0
3,10716.89,400674.0,389957.11,345061.56,355778.45,0
0,15657.63,337129.42,321471.79,418724.8,434382.43,0
1,14137.17,2859.29,0.0,161494.84,175632.01,0
0,8982.74,232912.88,223930.14,444506.1,453488.83,0
0,17297.9,285581.15,268283.25,80316.81,97614.71,0
1,11206.99,152015.14,140808.15,86511.93,97718.93,0
3,10844.13,159052.22,148208.1,133386.03,144230.16,0
0,780.34,480579.71,479799.37,59765.43,60545.77,0
1,19735.19,445855.43,426120.24,115159.61,134894.8,0
0,2547.12,424589.5,422042.38,53205.88,55753.0,0
0,4699.51,203005.9,198306.4,410876.21,415575.71,0
0,1128.77,6849.28,5720.51,69484.5,70613.26,0
0,12836.06,40111.12,27275.06,373648.78,386484.84,0
3,4571.55,156098.18,151526.63,23956.93,28528.49,0
0,3682.21,7871.46,4189.25,474260.16,477942.37,0
0,1862.26,8574.89,6712.63,355580.04,357442.3,0
0,2155.85,458301.65,456145.8,3398.27,5554.12,0
3,11734.95,353079.25,341344.3,381928.25,393663.2,0
0,13795.34,154478.0,140682.66,257040.96,270836.3,0
0,8007.84,66322.29,58314.45,389682.59,397690.43,0
3,9649.95,255817.86,246167.91,261248.4,270898.36,0
3,13750.76,2673.08,0.0,320512.43,334263.19,0
3,445.86,469206.87,468761.01,393165.83,393611.69,0
0,6530.3,207407.56,200877.26,202554.03,209084.33,0
3,19464.65,201167.48,181702.83,1354.07,20818.72,0
3,11644.23,195296.8,183652.57,424973.25,436617.48,0
0,5159.07,34664.17,29505.1,190445.18,195604.25,0
3,10482.43,319161.12,308678.69,248021.36,258503.79,0
0,6918.8,366501.81,359583.01,3883.32,10802.13,0
1,10691.68,338062.7,327371.02,246046.01,256737.68,0
3,2602.26,69217.75,66615.49,493243.7,495845.96,0
1,2741.02,289420.08,286679.06,139133.83,141874.85,0
0,2956.49,284742.24,281785.75,197709.14,200665.63,0
3,18802.41,434205.39,415402.98,343595.0,362397.41,0
0,14684.69,189563.83,174879.14,407396.83,422081.52,0
1,3331.4,185742.97,182411.57,208695.81,212027.21,0
0,3848.15,309263.53,305415.38,154834.44,158682.58,0
3,14643.51,316536.33,301892.82,468912.9,483556.41,0
3,3207.66,234642.61,231434.95,338572.48,341780.14,0
1,4767.77,221529.68,216761.91,59510.65,64278.42,0
0,19270.6,247073.84,227803.23,34463.94,53734.54,0
3,5180.6,430522.65,425342.05,241774.93,246955.53,0
1,13266.48,230583.45,217316.97,110045.03,123311.52,0
3,19574.76,469965.9,450391.13,126992.38,146567.14,0
3,7548.51,252001.88,244453.38,438846.09,446394.6,0
0,448.57,474600.35,474151.78,44783.01,45231.58,0
3,4958.53,416415.95,411457.42,357682.06,362640.59,0
0,16634.46,181215.66,164581.21,135571.13,152205.58,0
3,17305.72,431820.71,414514.99,380164.11,397469.83,0
1,15393.54,55031.64,39638.11,361205.69,376599.23,0
3,2350.89,462523.59,460172.7,3695.95,6046.84,0
0,15930.66,315821.76,299891.1,254567.71,270498.36,0
0,18381.69,27195.37,8813.69,69659.74,88041.43,1
1,12052.13,322128.36,310076.23,433113.52,445165.65,0
3,18823.42,487123.83,468300.41,435792.94,454616.36,0
3,16554.09,34900.33,18346.23,209172.9,225727.0,1
1,13372.73,277343.85,263971.12,222197.81,235570.54,0
3,11585.99,373897.17,362311.19,151641.47,163227.46,0
3,7036.62,405129.29,398092.68,358303.15,365339.77,0
0,3269.82,206913.73,203643.91,179330.68,182600.5,0
3,12138.58,102083.28,89944.7,133896.24,146034.82,0
3,6430.42,21171.14,14740.72,216115.53,222545.95,0
1,17342.13,289863.08,272520.95,45743.76,63085.89,0
1,19867.41,226455.54,206588.13,373301.6,393169.01,0
0,15073.31,474372.2,459298.89,6298.2,21371.51,0
3,1900.59,30302.45,28401.87,322242.53,324143.12,0
3,5844.84,342697.67,336852.83,91432.26,97277.11,0
3,2271.28,12483.11,10211.83,116202.02,118473.3,0
0,13045.18,85717.09,72671.91,317816.0,330861.18,0
0,15327.3,226789.5,211462.2,496471.73,511799.03,0
1,18520.93,227436.22,208915.29,388858.74,407379.67,0
0,8819.63,342850.27,334030.64,112919.82,121739.45,0
3,18037.38,455106.52,437069.14,88012.38,106049.75,0
3,17570.03,319516.08,301946.05,433116.44,450686.47,0
0,6412.19,476767.55,470355.35,222091.97,228504.17,0
3,17391.12,440807.82,423416.7,68526.4,85917.52,0
3,7575.88,292249.9,284674.02,431105.71,438681.59,0
0,6007.7,416895.98,410888.28,408046.18,414053.88,0
0,13016.59,321288.81,308272.22,491953.18,504969.77,0
3,6634.79,39278.92,32644.13,454871.84,461506.63,0
3,12641.15,370282.36,357641.21,425895.17,438536.32,0
3,12235.65,47454.22,35218.57,26287.2,38522.85,0
1,11312.43,297041.39,285728.96,52207.68,63520.12,0
1,7670.35,351320.1,343649.75,284491.6,292161.95,0
1,11015.14,33263.8,22248.66,265739.62,276754.77,0
0,11970.06,115397.33,103427.27,228981.61,240951.67,0
1,10959.17,457836.12,446876.95,198394.66,209353.83,0
0,8943.95,308157.25,299213.3,215605.24,224549.19,0
0,391.87,123143.01,122751.13,284648.97,285040.84,0
1,11782.53,345339.89,333557.36,1038.26,12820.79,0
1,3452.04,298388.21,294936.17,130354.39,133806.43,0
1,12887.26,250787.85,237900.59,259139.86,272027.12,0
3,15210.95,488093.49,472882.54,361108.05,376319.0,0
1,10058.86,341726.89,331668.03,87078.35,97137.21,0
3,10893.04,187720.55,176827.52,273440.59,284333.62,0
0,19034.42,400036.72,381002.29,357229.84,376264.27,0
3,16958.63,442291.65,425333.02,222313.83,239272.46,0
1,18293.31,62610.28,44316.97,13540.57,31833.87,0
0,16293.95,100276.49,83982.54,224634.08,240928.03,0
0,2267.48,108113.5,105846.03,148222.44,150489.92,0
0,3064.94,345605.9,342540.97,464824.8,467889.74,0
3,10579.81,301519.78,290939.96,62306.69,72886.51,0
1,4996.79,309495.78,304499.0,326237.98,331234.76,0
0,9586.24,470386.65,460800.41,26359.88,35946.12,0
0,7947.87,387955.77,380007.9,223085.22,231033.09,0
0,11033.34,63968.46,52935.12,276989.74,288023.09,0
3,14962.83,173753.54,158790.71,148977.47,163940.29,0
3,14338.27,217696.82,203358.55,227537.82,241876.09,0
1,10472.56,197980.79,187508.24,81776.9,92249.46,0
3,16465.63,334654.3,318188.68,152061.92,168527.55,0
0,8674.16,445946.55,437272.4,310553.16,319227.32,0
1,17944.61,153025.73,135081.12,150900.03,168844.64,0
0,1518.48,275938.57,274420.09,449871.54,451390.02,0
0,19097.73,394704.71,375606.98,314203.48,333301.21,0
3,13128.39,208109.03,194980.64,219324.51,232452.9,0
1,7663.48,84059.06,76395.58,19378.47,27041.95,0
3,4023.37,237475.48,233452.12,249774.17,253797.53,0
3,9635.75,27611.26,17975.51,382388.12,392023.87,0
1,3971.71,471191.73,467220.02,132778.8,136750.51,0
0,3410.0,37410.6,34000.6,403386.78,406796.78,0
0,12385.3,219228.36,206843.06,125903.38,138288.68,0
1,10509.39,264940.63,254431.24,411873.19,422382.58,0
0,13434.91,492651.92,479217.01,42634.17,56069.08,0
1,18599.16,83010.91,64411.75,433091.85,451691.01,0
1,10691.98,57215.76,46523.78,249593.23,260285.2,0
3,11660.55,4353.07,0.0,148268.79,159929.34,0
1,1883.56,77785.72,75902.15,132556.63,134440.19,0
3,14380.95,103636.49,89255.54,216005.28,230386.23,0
0,8058.11,315290.47,307232.36,499524.75,507582.86,0
0,19536.83,109853.4,90316.56,110163.7,129700.53,0
0,16481.16,10260.41,0.0,51608.32,68089.49,0
0,10497.37,413309.17,402811.8,292517.58,303014.96,0
3,2552.13,182797.85,180245.72,244271.23,246823.36,0
0,17202.37,176848.34,159645.97,262098.14,279300.51,0
1,16015.64,151239.51,135223.87,333467.71,349483.35,0
1,3773.24,487686.64,483913.39,133572.03,137345.28,0
1,5976.04,85057.71,79081.67,455332.5,461308.54,0
3,15888.8,449119.03,433230.23,217836.03,233724.84,0
0,3786.05,388401.67,384615.62,64543.1,68329.14,0
0,18363.27,38239.98,19876.7,371149.38,389512.65,0
0,8548.1,493364.55,484816.45,321552.18,330100.27,0
3,1832.08,135682.98,133850.91,157871.7,159703.78,0
1,16333.4,49291.46,32958.07,310759.36,327092.76,0
1,7532.84,414657.12,407124.27,109930.98,117463.82,0
0,10577.33,353337.77,342760.43,222419.68,232997.01,0
1,2334.86,308609.4,306274.55,449706.26,452041.12,0
1,151.42,77990.43,77839.01,66767.12,66918.54,0
3,12795.91,239248.06,226452.15,193348.22,206144.13,0
3,10351.99,390278.01,379926.03,410571.21,420923.2,0
3,11911.42,151811.97,139900.55,484745.45,496656.87,0
3,15895.5,155844.91,139949.41,226963.07,242858.57,0
0,12967.46,1570.45,0.0,253499.81,266467.27,0
3,3577.99,87121.7,83543.71,286085.98,289663.97,0
1,7279.37,437702.81,430423.44,466174.07,473453.44,0
0,18127.23,220873.25,202746.01,429103.4,447230.63,0
1,15421.9,492117.25,476695.35,85300.56,100722.46,0
1,11177.08,197853.98,186676.9,218378.91,229555.99,0
1,5187.34,357593.23,352405.89,232000.21,237187.55,0
3,6111.0,140959.52,134848.52,394548.06,400659.06,0
3,14665.97,181904.82,167238.86,301446.44,316112.41,0
0,17038.37,95362.99,78324.63,327110.23,344148.6,0
0,13461.35,173531.18,160069.83,499099.95,512561.3,0
3,16209.65,273618.76,257409.11,37480.02,53689.67,0
1,15356.46,495886.44,480529.98,111504.91,126861.37,0
0,3079.11,332100.86,329021.75,203947.97,207027.08,0
3,8536.5,99622.98,91086.48,173891.2,182427.7,0
3,3144.38,22480.72,19336.34,10822.78,13967.16,0
3,4781.19,63178.24,58397.05,45888.8,50669.99,0
1,17398.27,281277.6,263879.33,340476.65,357874.91,0
3,9510.55,382580.16,373069.61,439662.23,449172.78,0
3,10753.63,470209.6,459455.98,257113.51,267867.13,0
3,3651.07,7911.59,4260.51,269595.54,273246.61,0
3,6314.21,261380.07,255065.86,127546.72,133860.92,0
0,4681.9,235433.68,230751.78,383938.18,388620.08,0
0,4203.1,328027.51,323824.41,375897.29,380100.4,0
3,12795.42,279789.43,266994.01,294182.84,306978.26,0
1,5211.99,343519.58,338307.59,106332.14,111544.13,0
0,12677.11,329041.29,316364.18,48509.11,61186.22,0
3,1263.25,58505.86,57242.62,32119.29,33382.53,0
0,2921.31,399858.96,396937.65,296348.03,299269.34,0
0,5563.35,61616.29,56052.94,412517.66,418081.01,0
1,11981.23,349265.31,337284.08,429165.22,441146.45,0
3,13549.24,208072.68,194523.44,231811.04,245360.28,0
3,8910.07,256925.37,248015.3,392135.65,401045.72,0
1,8971.24,451649.01,442677.77,473440.1,482411.34,0
1,14517.89,444941.86,430423.98,137585.06,152102.94,0
3,414.84,408928.15,408513.31,198980.17,199395.01,0
3,6887.69,255074.19,248186.5,465739.5,472627.19,0
1,16392.27,368119.91,351727.63,169115.48,185507.75,0
0,12104.07,256448.53,244344.46,456938.15,469042.21,1
0,6810.82,434803.04,427992.22,490522.43,497333.25,0
1,18119.94,201387.92,183267.97,330905.36,349025.31,0
0,15475.19,485117.67,469642.48,408445.14,423920.34,0
1,5371.42,466161.38,460789.96,374772.78,380144.2,0
0,12941.27,370801.31,357860.04,349767.13,362708.4,0
0,11955.44,139707.94,127752.5,153465.54,165420.98,0
3,8083.64,65826.79,57743.15,28547.17,36630.81,0
3,7402.43,427351.73,419949.3,171525.87,178928.29,0
0,6936.85,82651.14,75714.29,333467.99,340404.85,0
0,12381.4,427130.39,414748.99,51264.6,63646.0,0
3,8903.96,245382.5,236478.55,5958.99,14862.95,0
3,16654.08,203278.39,186624.32,69846.19,86500.26,0
3,13425.09,451595.39,438170.3,357867.96,371293.06,0
1,1491.64,301925.49,300433.85,486396.85,487888.49,0
0,12839.35,288307.0,275467.66,491532.35,504371.7,0
3,5495.83,279382.97,273887.14,246989.57,252485.41,0
0,11896.96,185584.76,173687.8,434676.15,446573.11,0
1,13634.63,392821.55,379186.93,368413.23,382047.85,0
1,4693.5,126399.22,121705.72,250520.12,255213.62,0
3,9191.49,469447.48,460255.99,286380.27,295571.75,0
1,3887.46,446992.6,443105.14,68613.57,72501.04,0
0,1141.54,168740.16,167598.62,468830.73,469972.27,0
3,7631.68,364731.88,357100.2,175964.89,183596.57,0
0,7322.59,286611.6,279289.01,223074.63,230397.22,0
0,19910.06,168824.65,148914.59,335830.12,355740.18,0
1,8982.41,494260.82,485278.41,166951.24,175933.65,0
1,6738.03,12618.67,5880.64,127129.58,133867.61,0
1,11651.45,126323.02,114671.56,315524.7,327176.15,0
1,1866.47,260037.03,258170.56,12492.04,14358.51,0
1,19237.15,260976.5,241739.35,360362.56,379599.7,0
3,12735.7,294466.54,281730.83,257011.68,269747.39,0
0,15121.27,375838.09,360716.81,302876.87,317998.14,0
0,3492.51,311738.92,308246.4,315940.08,319432.59,0
0,8248.61,300140.73,291892.12,263525.08,271773.69,0
0,8511.51,26757.23,18245.72,291266.89,299778.4,0
1,16453.95,188265.14,171811.2,341894.1,358348.05,0
0,124.61,116027.87,115903.26,376559.42,376684.03,0
3,6086.98,132685.06,126598.08,363726.2,369813.17,0
3,19626.6,277168.74,257542.13,434808.23,454434.83,0
0,9550.24,99752.66,90202.42,94721.72,104271.96,0
0,7712.27,146974.55,139262.28,200573.98,208286.26,0
3,2484.6,118542.35,116057.76,473898.03,476382.63,0
3,19485.88,474251.47,454765.6,198295.29,217781.16,0
1,498.52,472332.87,471834.34,62435.04,62933.56,0
3,14769.89,304970.78,290200.89,262722.56,277492.45,0
1,15395.14,462261.23,446866.1,54745.49,70140.62,0
1,4948.77,392906.32,387957.55,101426.62,106375.39,0
1,13464.01,294973.94,281509.93,499159.38,512623.39,0
1,1949.29,3217.61,1268.32,270681.32,272630.61,0
1,5215.24,386258.14,381042.9,142029.19,147244.44,0
0,15779.25,351244.17,335464.92,497387.48,513166.73,0
3,17307.26,307626.83,290319.57,483279.46,500586.71,0
1,12208.88,380212.16,368003.28,220369.52,232578.4,0
3,10186.08,256461.08,246275.0,130201.55,140387.64,0
3,3270.15,352041.64,348771.49,419199.82,422469.97,0
1,1355.87,467586.04,466230.17,357810.36,359166.23,0
0,2441.22,187902.51,185461.29,343470.72,345911.93,0
1,4624.41,354060.92,349436.51,446556.87,451181.28,0
0,6899.32,237843.91,230944.59,344708.57,351607.89,0
3,7680.1,337199.83,329519.73,141898.97,149579.07,0
0,6991.8,381446.67,374454.86,346931.58,353923.38,0
0,4857.2,22726.25,17869.05,152906.76,157763.96,0
0,10243.51,323300.22,313056.71,379619.49,389863.0,0
3,16523.19,113370.59,96847.4,309873.93,326397.12,0
3,5666.1,335016.27,329350.17,38705.78,44371.88,0
0,18853.5,234165.09,215311.59,256417.68,275271.18,0
0,17479.4,386776.37,369296.97,171650.48,189129.88,0
1,3319.11,61700.41,58381.3,164285.32,167604.42,0
0,15746.89,313161.18,297414.28,301128.15,316875.04,0
1,11534.29,139235.36,127701.08,161162.41,172696.7,0
0,11374.85,426491.0,415116.15,388446.87,399821.72,0
1,7881.75,464191.75,456310.0,35395.72,43277.47,0
3,10072.94,498199.15,488126.2,330194.13,340267.07,0
0,8003.86,398003.7,389999.84,404597.4,412601.26,0
0,10840.68,376867.04,366026.36,336415.84,347256.52,0
0,12596.21,107750.38,95154.17,248614.6,261210.8,0
0,13518.65,168003.53,154484.88,475153.51,488672.15,0
1,10696.38,232841.27,222144.9,149969.24,160665.62,0
0,14456.3,386690.52,372234.22,9583.94,24040.24,0
3,2911.43,457482.93,454571.5,215994.69,218906.12,1
3,4318.45,94569.55,90251.1,16505.97,20824.42,0
0,16392.83,461183.74,444790.92,476968.38,493361.2,0
3,6518.31,347812.33,341294.02,104959.02,111477.33,0
0,555.59,305385.37,304829.78,394463.51,395019.1,0
0,3160.44,99920.64,96760.19,387286.04,390446.49,0
3,4549.93,27762.52,23212.59,108864.45,113414.38,0
0,19150.73,284232.45,265081.72,310613.27,329763.99,0
3,11503.52,325757.84,314254.32,24039.48,35543.01,0
1,18661.34,105390.72,86729.38,241787.29,260448.63,0
0,11545.75,278228.1,266682.35,7323.56,18869.31,0
1,9639.15,428246.7,418607.55,460571.94,470211.09,0
3,6343.18,417532.97,411189.79,488043.01,494386.19,0
1,12166.78,463677.59,451510.81,111141.38,123308.17,0
1,2870.04,182942.9,180072.86,104053.02,106923.06,0
3,17975.41,159024.79,141049.38,376860.09,394835.49,0
1,16603.71,374713.0,358109.29,126689.7,143293.41,0
1,6418.88,215556.2,209137.33,447538.28,453957.16,0
3,19060.67,43774.33,24713.66,286964.57,306025.24,0
1,16521.5,141400.57,124879.07,175388.81,191910.31,0
3,13359.51,209291.14,195931.64,416346.87,429706.38,0
1,2523.06,146258.21,143735.15,246703.35,249226.41,0
3,9616.86,166102.79,156485.93,455816.46,465433.31,0
3,10171.54,146887.95,136716.41,464007.12,474178.66,0
1,4727.77,20749.58,16021.81,82710.08,87437.85,0
1,1691.31,318547.35,316856.04,1161.7,2853.01,0
1,15556.8,298646.21,283089.41,491965.47,507522.27,0
0,2528.5,326691.75,324163.25,453068.77,455597.27,0
0,11926.39,96154.95,84228.56,27722.62,39649.0,0
0,18735.34,147827.27,129091.93,416517.13,435252.47,0
3,17534.49,309807.96,292273.47,228902.47,246436.96,0
1,5627.28,299813.78,294186.51,129480.8,135108.08,0
3,17043.83,253165.15,236121.33,439373.26,456417.09,0
0,106.62,175206.63,175100.01,98333.62,98440.23,0
1,451.99,456465.5,456013.51,473650.0,474101.99,0
3,12090.81,169885.12,157794.31,102810.74,114901.55,0
1,7359.48,227809.58,220450.09,306841.59,314201.08,0
3,7790.57,339056.92,331266.34,111543.17,119333.74,0
1,11332.38,271510.72,260178.34,272834.33,284166.71,0
0,3916.47,173442.99,169526.52,341987.56,345904.04,0
0,4313.93,217822.4,213508.46,95113.97,99427.9,0
1,9743.57,397240.41,387496.84,260442.89,270186.46,0
3,15109.65,139064.58,123954.93,234529.87,249639.52,0
0,12428.01,71127.62,58699.61,35518.71,47946.72,0
0,6017.37,156581.6,150564.24,409153.91,415171.27,0
0,8663.71,424767.11,416103.4,167841.2,176504.91,0
1,3496.23,44494.86,40998.63,287291.1,290787.33,0
1,1585.13,495848.04,494262.9,257392.12,258977.25,0
3,15675.65,270501.45,254825.8,256630.25,272305.9,0
3,5381.21,492422.87,487041.66,53611.2,58992.41,0
3,3637.55,469498.21,465860.66,211741.0,215378.56,0
1,13863.2,226406.86,212543.66,226183.38,240046.58,0
1,12399.23,99245.54,86846.31,366821.42,379220.65,0
3,12700.47,82442.39,69741.91,420009.42,432709.89,0
3,4655.0,119994.68,115339.68,272491.14,277146.14,0
1,4729.65,355066.32,350336.67,43391.48,48121.12,0
3,4493.97,136475.0,131981.03,118424.74,122918.71,0
0,3557.68,170712.63,167154.96,82467.01,86024.69,0
1,13148.9,224389.4,211240.5,62307.53,75456.43,0
3,16975.52,456616.34,439640.82,182949.65,199925.17,0
1,14513.92,94696.71,80182.79,114696.75,129210.67,0
0,15862.66,2513.28,0.0,109151.56,125014.22,0
1,8155.49,30048.21,21892.72,27346.59,35502.08,0
1,13116.11,452383.17,439267.06,8835.02,21951.13,0
1,7149.3,323758.23,316608.93,51384.12,58533.42,0
1,10557.54,136520.31,125962.77,86098.74,96656.28,0
0,9684.53,88596.25,78911.72,215491.86,225176.4,0
1,3620.05,147133.37,143513.31,255260.13,258880.18,0
1,7802.87,57398.46,49595.6,70295.96,78098.83,0
3,19280.06,470766.46,451486.39,212391.67,231671.73,0
1,5046.75,392103.09,387056.34,170874.42,175921.17,1
3,2762.69,231195.59,228432.89,91711.82,94474.52,0
0,8429.75,432481.3,424051.55,3420.37,11850.13,0
0,15827.72,124729.1,108901.38,233508.93,249336.65,0
0,11684.75,358560.28,346875.53,342825.87,354510.62,0
0,13651.4,428066.25,414414.85,113138.67,126790.07,0
3,3874.93,178384.36,174509.43,65903.41,69778.34,0
1,12417.07,378732.22,366315.15,443521.37,455938.44,0
0,6537.66,147536.17,140998.52,137512.39,144050.04,0
1,16702.64,149428.57,132725.93,111806.31,128508.95,0
3,12623.05,53528.59,40905.54,428548.47,441171.52,0
3,4057.24,220029.02,215971.78,408553.55,412610.79,0
3,1385.87,364855.95,363470.08,224173.24,225559.11,0
0,948.4,470110.4,469162.0,244619.43,245567.83,0
1,7491.03,301898.5,294407.47,108874.35,116365.38,0
1,5390.44,431567.77,426177.33,39150.84,44541.27,0
1,12957.19,411247.32,398290.13,286715.91,299673.11,0
3,10036.74,86671.53,76634.78,49172.46,59209.2,0
0,5393.78,242908.71,237514.93,224637.27,230031.06,0
3,3069.83,58461.77,55391.94,470248.6,473318.43,0
3,2631.28,341076.58,338445.31,476417.19,479048.47,0
1,17306.74,474949.83,457643.09,119666.14,136972.89,1
3,4945.21,68544.73,63599.52,312056.71,317001.92,0
1,13069.04,366941.57,353872.52,237038.13,250107.17,0
0,16232.65,316119.08,299886.43,437842.56,454075.21,0
1,12320.22,291802.52,279482.3,135715.43,148035.65,0
0,17205.35,195060.12,177854.77,1851.2,19056.55,0
1,7908.64,177565.82,169657.19,81280.6,89189.24,0
3,19128.82,22624.59,3495.77,174761.4,193890.22,0
3,2749.59,108954.35,106204.77,157860.56,160610.15,0
0,2132.78,7588.44,5455.67,395681.46,397814.24,0
0,13207.97,290708.55,277500.58,340280.33,353488.31,0
0,18862.34,52926.62,34064.28,149778.16,168640.5,0
1,16196.78,436509.7,420312.92,228871.91,245068.69,0
1,1620.7,261571.51,259950.81,47779.55,49400.25,0
0,5659.42,349844.95,344185.54,449073.22,454732.64,0
3,18613.35,205428.55,186815.2,467712.41,486325.76,0
1,5135.86,280289.9,275154.04,489901.77,495037.63,0
1,15645.29,471329.59,455684.3,434276.42,449921.71,0
1,16520.13,41367.02,24846.89,86980.44,103500.57,0
0,9959.5,126968.89,117009.39,23098.24,33057.74,0
0,7788.34,389994.16,382205.82,289798.36,297586.71,0
0,9057.48,49368.6,40311.13,456302.51,465359.99,0
0,4616.6,37830.55,33213.95,88675.68,93292.28,0
0,17798.88,180770.7,162971.82,3521.46,21320.34,0
3,9067.33,46083.98,37016.65,402748.02,411815.35,0
3,17660.94,292539.22,274878.28,38397.84,56058.79,0
0,2203.3,113137.63,110934.33,206853.02,209056.32,0
1,19766.68,447848.98,428082.3,339443.67,359210.35,0
0,8921.13,391750.04,382828.91,118398.79,127319.93,0
3,1051.83,349852.6,348800.77,41981.28,43033.12,0
3,856.63,308472.01,307615.38,385010.61,385867.25,0
1,14949.52,431732.87,416783.34,315087.54,330037.07,0
3,13214.81,111531.03,98316.22,494245.24,507460.05,0
0,16062.4,436554.42,420492.02,172154.02,188216.41,0
1,2196.81,394746.15,392549.34,30881.19,33078.01,0
0,807.86,374080.41,373272.55,367175.02,367982.88,0
0,10220.73,280627.84,270407.11,260866.71,271087.44,0
1,7813.15,123122.08,115308.94,106601.97,114415.11,0
0,9292.74,211773.96,202481.21,390864.49,400157.24,0
3,19832.61,396785.33,376952.72,101877.74,121710.35,0
